"Reference","Value","Footprint","Datasheet","Manufacturer","Package","digikey part #","link","mount_type","mpn","Qty"
"C1, C3-C15, C17-C20, C22","100nF/0402/>=16V/X7R","Capacitor_SMD:C_0402_1005Metric","~","TDK Corporation","0402","445-5932-1-ND","https://www.digikey.com/en/products/detail/tdk-corporation/C1005X7R1H104K050BB/2443410","smt","C1005X7R1H104K050BB","19"
"C2, C26, C27","22uF/0805/>=16V","Capacitor_SMD:C_0805_2012Metric","~","Cal-Chip Electronics, Inc.","0805","4713-GMC21X5R226M16NTCT-ND","https://www.digikey.cn/en/products/detail/cal-chip-electronics-inc/GMC21X5R226M16NT/19910713","smt","GMC21X5R226M16NT","3"
"C16, C21","10uF/0805/>=16V","Capacitor_SMD:C_0805_2012Metric","~","TDK Corporation","0805","445-7611-1-ND","https://www.digikey.cn/en/products/detail/tdk-corporation/C2012X6S1C106K125AC/2733046","smt","C2012X6S1C106K125AC","2"
"C23, C24","10uF/0603/>=16V/Low ESL","Capacitor_SMD:C_0603_1608Metric","~","TDK Corporation","0603","445-9015-1-ND","https://www.digikey.com/en/products/detail/tdk-corporation/C1608X5R1E106M080AC/3648665","smt","C1608X5R1E106M080AC","2"
"D1","1A Diode, Vf 500mV","Diode_SMD:D_SOD-323","~","any","D_SOD-323","NSVR1020MW2T1GOSCT-ND","https://www.digikey.com/en/products/detail/onsemi/NSVR1020MW2T1G/5404898","smt","NSVR1020MW2T1G","1"
"ESP32_QT_PY1","microcontroller","!RCMhardware footprints:ESP32 QT PY","~","Adafruit","tht","","https://www.digikey.com/en/products/detail/adafruit-industries-llc/5426/21283802","do not place or purchase for PCB assembly","","1"
"IC1-IC4","TMC7300","!RCMhardware footprints:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/TMC7300_datasheet_rev1.08.pdf","Analog Devices","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","175-TMC7300-LA-TCT-ND","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/TMC7300-LA-T/11483537","smt","TMC7300-LA-T","4"
"J1","pads to solder wires to, recommend JST RCY","!RCMhardware footprints:battery wires","~","","tht","","https://www.amazon.com/dp/B00Z04QFN2/","do not place or purchase for PCB assembly","","1"
"J2-J5","1x08 male header pins","!RCMhardware footprints:servo pin column","~","","tht","","","do not place or purchase for PCB assembly","","4"
"J6","2x08 female header pins","!RCMhardware footprints:PinSocket_2x08_P2.54mm_Vertical","~","","tht","","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC082LFBN-RC/810214","do not place or purchase for PCB assembly","","1"
"L1","XFL4020-1.5μH","!RCMhardware footprints:L_Coilcraft_XxL4020","~","Coilcraft","1616","2457-XFL4020-152MEC-ND","https://www.digikey.com/en/products/detail/coilcraft/XFL4020-152MEC/21381168","smt","XFL4020-152MEC","1"
"R1","49.9k or 50k","Resistor_SMD:R_0402_1005Metric","~","Bourns Inc.","0402","118-CRT0402-BY-4992GLFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CRT0402-BY-4992GLF/6153200","smt","CRT0402-BY-4992GLF","1"
"R2, R11, R12","10k","Resistor_SMD:R_0402_1005Metric","~","Bourns Inc.","0402","CR0402-FX-1002GLFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CR0402-FX-1002GLF/3593192","smt","CR0402-FX-1002GLF","3"
"R3-R10","120mΩ / 0.5W / 1206 / <=1%","Resistor_SMD:R_1206_3216Metric","~","Bourns Inc.","1206","CRL1206-FW-R120ELFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CRL1206-FW-R150ELF/3785721?s=N4IgTCBcDaIMICUAyBGMAGAbAWgGIHVsEUBWdAUSVxAF0BfIA","smt","CRL1206-FW-R120ELF","8"
"TP1-TP4","TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~","n/a","n/a","","","do not place or purchase for PCB assembly","","4"
"U1","TPS630701RNMR 5V 2A buck-boost","!RCMhardware footprints:TPS630701RNMR","https://www.ti.com/lit/ds/symlink/tps63070.pdf","Texas Instruments","15-VQFN-HR (3x2.5)","296-47298-1-ND","https://www.digikey.com/en/products/detail/texas-instruments/TPS630701RNMR/6175215","smt","TPS630701RNMR","1"
"U5, U6","5V, 2A, buck boost","!RCMhardware footprints:pololu4085","~","Pololu","tht","","https://www.pololu.com/product/4085","do not place or purchase for PCB assembly","","2"
