"Reference","Value","Footprint","Datasheet","Manufacturer","Package","digikey part #","link","mount_type","mpn","Qty"
"C1, C3-C15, C17-C20, C22","100nF/0402/16V/X7R/<=10%/ceramic","Capacitor_SMD:C_0402_1005Metric","~","Cal-Chip Electronics, Inc.","0402","4713-GMC04X7R104K50NTCT-ND","https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X7R104K50NT/18151122","smt","GMC04X7R104K50NT","19"
"C2, C25-C27","22uF/0805/>=16V","Capacitor_SMD:C_0805_2012Metric","~","Cal-Chip Electronics, Inc.","0805","4713-GMC21X5R226M16NTCT-ND","https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC21X5R226M16NT/19910713","smt","GMC21X5R226M16NT","4"
"C16, C21","10uF/0805/>=16V","Capacitor_SMD:C_0805_2012Metric","~","Cal-Chip Electronics, Inc.","0805","4713-GMC21X7R106K16NTCT-ND","https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC21X7R106K16NT/18151068","smt","GMC21X7R106K16NT","2"
"C23, C24","10uF/0603/>=16V","Capacitor_SMD:C_0603_1608Metric","~","Cal-Chip Electronics, Inc.","0603","4713-GMC10X5R106M25NTCT-ND","https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC10X5R106M25NT/18151144","smt","GMC10X5R106M25NT","2"
"D1","1A Zener Diode / >=1A / 600 mV Vf @ 1 A","Diode_SMD:D_SOD-323","~","Good-Ark Semiconductor","D_SOD-323","4786-GDB5818WSCT-ND","https://www.digikey.com/en/products/detail/good-ark-semiconductor/GDB5818WS/18648294","smt","GDB5818WS","1"
"ESP32_QT_PY1","microcontroller","!RCMhardware footprints:ESP32 QT PY","~","Adafruit","tht","","https://www.digikey.com/en/products/detail/adafruit-industries-llc/5426/21283802","do not place or purchase for PCB assembly","","1"
"IC1-IC4","TMC7300","!RCMhardware footprints:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/TMC7300_datasheet_rev1.08.pdf","Analog Devices","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","175-TMC7300-LA-TCT-ND","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/TMC7300-LA-T/11483537","smt","TMC7300-LA-T","4"
"J1","pads to solder wires to, recommend JST RCY","!RCMhardware footprints:battery wires","~","","tht","","https://www.amazon.com/dp/B00Z04QFN2/","do not place or purchase for PCB assembly","","1"
"J2-J5","1x08 male header pins","!RCMhardware footprints:servo pin column","~","","tht","","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0402F30K/2390530","do not place or purchase for PCB assembly","","4"
"J6","2x08 female header pins","!RCMhardware footprints:PinSocket_2x08_P2.54mm_Vertical","~","","tht","","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC082LFBN-RC/810214","do not place or purchase for PCB assembly","","1"
"L1","XFL4020-1.5μH","!RCMhardware footprints:L_Coilcraft_XxL4020","~","Coilcraft","1616","2457-XFL4020-152MEC-ND","https://www.digikey.com/en/products/detail/coilcraft/XFL4020-152MEC/21381168","smt","XFL4020-152MEC","1"
"R1, R14","30k / <=1%","Resistor_SMD:R_0402_1005Metric","~","TE Connectivity Passive Product","0402","1712-CRG0402F30KCT-ND","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0402F30K/2390530?s=N4IgTCBcDaIIwHY5gLQGEBKBxADAFhzADEBmHAaTQBUUA5AERAF0BfIA","smt","CRG0402F30K","2"
"R2, R11, R12","10k / <=1%","Resistor_SMD:R_0402_1005Metric","~","TE Connectivity Passive Product","0402","A121528CT-ND","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0402F10K/5246515","smt","CRG0402F10K","3"
"R3-R10","120mΩ / 0.5W / 1206 / <=1%","Resistor_SMD:R_1206_3216Metric","~","Bourns Inc.","1206","CRL1206-FW-R120ELFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CRL1206-FW-R150ELF/3785721?s=N4IgTCBcDaIMICUAyBGMAGAbAWgGIHVsEUBWdAUSVxAF0BfIA","smt","CRL1206-FW-R120ELF","8"
"R13","130k","Resistor_SMD:R_0402_1005Metric","~","TE Connectivity Passive Product","0402","A119923CT-ND","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CPF0402B130KE/4966473","smt","CPF0402B130KE","1"
"TP1-TP4","TestPoint","TestPoint:TestPoint_Pad_D1.5mm","~","n/a","n/a","n/a","n/a","do not place or purchase for PCB assembly","n/a","4"
"U1","TPS63070 5V 2A buck-boost","!RCMhardware footprints:TPS630701RNMR","https://www.ti.com/lit/ds/symlink/tps63070.pdf","Texas Instruments","15-VQFN-HR (3x2.5)","296-44874-1-ND","https://www.digikey.com/en/products/detail/texas-instruments/TPS63070RNMR/6175216","smt","TPS63070RNMR","1"
"U5, U6","5V, 2A, buck boost","!RCMhardware footprints:pololu4085","~","Pololu","tht","","https://www.pololu.com/product/4085","do not place or purchase for PCB assembly","","2"
